,Si_1h,Продажа,34393,1,10:01:01,18.95238
,RI_1h_4,Продажа,132750,1,10:17:08,61.19048
,RI_1h_4,Купля,132750,1,10:17:11,61.19048
,ED_1h,Продажа,1.3636,1,11:22:41,0.00037
,ED_1h,Купля,1.3636,1,11:22:44,0.00037
,RI_1h_2,Продажа,132230,1,12:36:25,277.33333
,RI_1h_2,Продажа,132170,1,12:36:28,50.33333
,SR_1h,Продажа,8515,1,12:43:08,1.55172
,SR_1h,Купля,8517,1,12:43:11,1.55172
,GZ_1h,Купля,14345,1,12:44:19,13.2
,Si_1h,Продажа,34312,1,14:48:57,4.28571
,VB_1h,Купля,4257,1,15:29:54,2.9
,VB_1h,Продажа,4260,1,15:29:57,2.9
,LK_1h,Купля,20232,1,15:57:12,33
,LK_1h,Продажа,20232,1,15:57:15,33
,RI_1h_4,Купля,133020,1,17:00:06,186.5
,RN_1h,Купля,24263,1,17:00:11,40.71429
,RN_1h,Продажа,24164,1,17:25:11,40.71429
,ED_1h,Продажа,1.3593,1,17:40:12,3e-005
,RI_1h_4,Продажа,131690,1,17:50:38,186.5
,SR_1h,Продажа,8484,1,17:50:43,1.55172
,RI_1h_2,Купля,131680,1,17:50:44,50.33333
,SR_1h,Купля,8482,1,17:50:46,1.55172
,ED_1h,Купля,1.3609,1,19:39:19,3e-005
,SR_1h,Купля,8496,1,21:09:24,15.8
,RI_1h_2,Купля,132330,1,22:47:58,162
,SR_1h,Продажа,8565,1,22:48:00,15.8
,RN_1h,Купля,24164,1,22:48:00,32.66667
,RN_1h,Продажа,24181,1,22:48:03,32.66667
