,RI_1h_1,Продажа,119560,1,10:05:21,158.33333
,RI_1h_2,Продажа,119560,1,10:05:21,158.33333
,RI_1h_1,Купля,119430,1,10:06:26,158.33333
,RI_1h_2,Купля,119430,1,10:06:26,158.33333
,GZ_1h,Продажа,12901,1,10:07:18,13.07692
,GZ_1h_1,Продажа,12901,1,10:07:18,13.07692
,GZ_1h_2,Продажа,12901,1,10:07:18,13.07692
,GZ_1h,Купля,12884,1,10:07:40,13.07692
,GZ_1h_1,Купля,12884,1,10:07:40,13.07692
,GZ_1h_2,Купля,12884,1,10:07:40,13.07692
,RI_1h_1,Купля,120440,1,11:10:15,18
,RI_1h_1,Продажа,120580,1,11:10:22,18
,SR_1h_2,Продажа,7489,1,13:17:54,21.27778
,SR_1h_2,Купля,7494,1,13:17:59,21.27778
,SR_1h_1,Продажа,7451,1,13:56:04,8.63636
,Si_1h,Купля,36408,1,14:03:53,5.36364
,SR_1h_1,Купля,7441,1,14:05:33,8.63636
,Si_1h,Продажа,36423,1,14:15:56,5.36364
,Eu_1h,Купля,48622,1,15:00:06,27.08333
,Eu_1h,Продажа,48578,1,15:07:45,27.08333
,RI_1h,Продажа,119210,1,15:49:47,54.54545
,RI_1h_1,Продажа,119210,1,15:49:47,54.54545
,RI_1h_2,Продажа,119210,1,15:49:47,54.54545
,GZ_1h,Продажа,12883,1,15:49:47,9.16667
,GZ_1h_1,Продажа,12883,1,15:49:47,9.16667
,GZ_1h_2,Продажа,12883,1,15:49:47,9.16667
,RI_1h,Купля,119070,1,15:53:30,54.54545
,RI_1h_1,Купля,119070,1,15:53:30,54.54545
,RI_1h_2,Купля,119070,1,15:53:30,54.54545
,GZ_1h,Купля,12864,1,15:53:33,9.16667
,GZ_1h_1,Купля,12864,1,15:53:33,9.16667
,GZ_1h_2,Купля,12864,1,15:53:33,9.16667
